name,address,city,state,ZIP,lon,lat,notes
Marion USP,N Clear Creek Rd,Pine Knot,KY,42635,36.6857315,-84.3907714,
McCreary USP,Unnamed Rd,Welch,WV,24801,37.4792685,-81.5557408,
McDowell FCI,6975 Pennsylvania 59,Lewis Run,PA,16738,41.7961241,-78.6924613,
McKean FCI,1000 Jim Hammock Dr,McRae,GA,31055,32.0589684,-82.8775012,RRM
McRae CI,1101 John A Denie Rd,Memphis,TN,38134,35.1553019,-89.8642427,
Memphis FCI,33500 W California Ave,Mendota,CA,93640,36.7307653,-120.3923652,
Mendota FCI,16303-16393 SW 137th Ave,Miami,FL,33177,25.6168838,-80.4143456,
Miami FCI,2-98 NE 4th St,Miami,FL,33132,25.7780179,-80.1931196,
Miami FDC,400 N Miami Ave,Miami,FL,33132,25.7780686,-80.1937687,RRM
Miami RRM,2701 Technology Dr,Annapolis Junction,MD,20701,39.1202723,-76.776849,
Mid-Atlantic RO,4276-4542 Arkona Rd,Milan,MI,48160,42.098915,-83.6695683,
Milan FCI,253 S 4th St,Minneapolis,MN,55401,44.9780504,-93.265686,RRM
Minneapolis RRM,100-102 Willow St,Montgomery,AL,36112,32.3920136,-86.3576487,hod
Montgomery FPC,Willow St,Montgomery,AL,36112,32.391966,-86.3558865,RRM
Montgomery RRM,446 Greenbag Rd,Morgantown,WV,26508,39.6053079,-79.950546,
Morgantown FCI,329 Graham Station Rd,Philipsburg,PA,16866,40.9167718,-78.2463884,private contractor
Moshannon Valley CI,801 Broadway,Nashville,TN,37203,36.1583379,-86.7825508,RRM
Nashville RRM,128-150 Park Row,New York,NY,10007,40.7130105,-74.0010577,
New York MCC,100 29th St,Brooklyn,NY,11232,40.6598873,-74.0030158,RRM
New York RRM,401-415 State Ave,Kansas City,KS,66101,39.1165432,-94.619059,
North Central RO,220 State Route 3008,Philadelphia,PA,19106,39.9484539,-75.1446712,
Northeast RO,1700 E Whatley Rd,Oakdale,LA,71463,30.8321382,-92.6434833,
Oakdale FCC,1700 E Whatley Rd,Oakdale,LA,71463,30.8321382,-92.6434833,
Oklahoma City FTC,7377-7499 S Macarthur Blvd,Oklahoma City,OK,73159,35.3920587,-97.6186109,
Orlando RRM,6113-6499 County Road 500,Wildwood,FL,34785,28.7596272,-82.0012236,
Otisville FCI,2 Sanitorium Ave,Otisville,NY,10963,41.4767775,-74.5333368,
Oxford FCI,357 Elk Ave,Oxford,WI,53952,43.861689,-89.6490651,
Pekin FCI,14944-14998 Illinois 29,Pekin,IL,61554,40.5380688,-89.6644449,
Pensacola FPC,46-130 Raby Ave,Pensacola,FL,32507,30.463596,-87.3431593,
Petersburg FCC,1076 River Rd,Hopewell,VA,23860,37.2981843,-77.3410892,
Philadelphia FDC,700 Arch St,Philadelphia,PA,19106,39.9525416,-75.1520634,
Philadelphia RRM,29 S 3rd St,Philadelphia,PA,19106,39.949408,-75.145787,RRM
Phoenix FCI,37900 N 45th Ave,Phoenix,AZ,85086,33.833813,-112.1660435,
Phoenix RRM,Federal Bldg 230 N 1st Ave,Phoenix,AZ,85003,33.451026,-112.07539,RPM
Pittsburgh RRM,900-998 William Penn Pl,Pittsburgh,PA,15219,40.4436321,-79.9952424,RRM
Pollock FCC,Airbase Rd,Pollock,LA,71467,31.4611227,-92.446353,
Raleigh RRM,Old 75 Hwy,Butner,NC,27509,36.1445289,-78.7901366,RRM
Ray Brook FCI,County Highway 32,Saranac Lake,NY,12983,44.2939639,-74.0972954,
Reeves I & II CI,51-99 County Road 204,Pecos,TX,79772,31.3916017,-103.5391688,private contractor
Reeves III CI,307 W County Rd,Pecos,TX,79772,31.399995,-103.4971976,private contractor
Rivers CI,103 Parkers Fishery Rd,Winton,NC,27986,36.4028311,-76.957705,private contractor
Rochester FMC,2110 E Center St,Rochester,MN,55904,44.022354,-92.4387503,
Sacramento RRM,501 I St,Sacramento,CA,95814,38.5835493,-121.4988005,RRM
Safford FCI,Arizona 366,Safford,AZ,85546,32.717264,-109.7269499,
Salt Lake City RRM,328-334 S State St,Salt Lake City,UT,84111,40.7621135,-111.8889177,RRM
San Antonio RRM,727 East César E. Chávez Boulevard,San Antonio,TX,78206,29.4175166,-98.4847391,RRM
San Diego MCC,808 Union St,San Diego,CA,92101,32.7137119,-117.1656168,
Sandstone FCI,2300 County Road 29,Sandstone,MN,55072,46.110805,-92.8508019,
Schuylkill FCI,Prison Rd,Pottsville,PA,17901,40.7204125,-76.3501793,
Seagoville FCI,1719-2075 U.S. 175 Frontage Rd,Seagoville,TX,75159,32.6572073,-96.5639663,
SeaTac FDC,2415 S 200th St,SeaTac,WA,98198,47.4227086,-122.3018432,
Seattle RRM,27341-27353 SW Ballston Rd,Sheridan,OR,97378,45.0840437,-123.3958304,
Sheridan FCI,Navy Dr,Grand Prairie,TX,75051,32.741985,-96.958036,
South Central RO,2837 Camp Creek Pkwy,College Park,GA,30337,33.6505653,-84.4719887,
Southeast RO,1900 W Sunshine St,Springfield,MO,65807,37.1775777,-93.3212507,
Springfield MCFP,1222 Spruce St,St Louis,MO,63103,38.6243853,-90.199846,RRM
St Louis RRM,800-826 Duvall Rd,Taft,CA,93268,35.1068142,-119.3821621,RRM
Taft CI,720 E Renfroe Rd,Talladega,AL,35160,33.4249765,-86.1428922,
Talladega FCI,3150 Conner Blvd,Tallahassee,FL,32311,30.4401965,-84.2227578,
Tallahassee FCI,700-798 S Seaside Ave,San Pedro,CA,90731,33.7271772,-118.2681388,
Terminal Island FCI,4201-4299 Bureau Rd N,Terre Haute,IN,47802,39.4142642,-87.4513221,
Terre Haute FCC,4700 S Bureau Rd,Terre Haute,IN,47802,39.409871,-87.4558282,
Texarkana FCI,4001 Leopard Dr,Texarkana,TX,75501,33.3755164,-94.0921175,
Thomson AUSP,1100 1 Mile Rd,Thomson,IL,61285,41.969953,-90.104878,
Three Rivers FCI,Texas 72,Three Rivers,TX,78071,28.4477702,-98.3224118,
Tucson FCC,8400-9000 S Wilmot Rd,Tucson,AZ,85756,32.0884922,-110.8579785,
Victorville FCC,347 George Blvd,Victorville,CA,92394,34.5722033,-117.3604739,
Waseca FCI,12675-12683 University Dr SW,Waseca,MN,56093,44.0658185,-93.5165477,
"Washington, DC RRM",2701 Technology Dr,Annapolis Junction,MD,20701,39.1202723,-76.776849,RRM
Western RO,7306-7388 Shoreline Dr,Stockton,CA,95219,38.0167812,-121.3581294,RO
Williamsburg FCI,8804-8864 U.S. 521,Salters,SC,29590,33.5894196,-79.8901105,
Yankton FPC,1007 Douglas Ave,Yankton,SD,57078,42.8798559,-97.3919803,
Yazoo City FCC,25911-25929 Haley Barbour Pkwy,Yazoo City,MS,39194,32.8784609,-90.416826,
